Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
1/8/2024,Broken rail at Nassau 1,7,0,0,0,0,0,7,1,0
1/8/2024,Trespasser strike at Copiague,0,0,0,2,2,0,19,4,1
1/6/2024,Loss of PSCC Supervisory System,0,0,0,0,0,0,1,7,13
1/4/2024,Vehicle strike west of Wyandanch,0,0,0,11,4,2,5,3,0
1/4/2024,Equipment trouble No. 1466 at Plaza,0,0,0,28,6,1,9,1,1
1/2/2024,Low air pressure Babylon Int,0,2,0,0,0,0,10,0,0
12/31/2023,Single track account of broken rail,0,0,0,0,0,0,8,4,0
12/30/2023,Amtrak related  - Loss of supervisory system at PSCC,0,0,0,0,0,0,47,8,3
12/29/2023,61 Switch at Hall failing to normalize,0,0,0,10,0,0,12,0,0
12/28/2023,Trespasser strike at Rockville Centre,0,0,0,0,0,0,11,1,1
12/18/2023,High winds causing damage to Infrastructure,4,4,5,0,0,0,13,0,21
12/18/2023,Switch trouble at Hall,0,0,0,12,0,0,4,0,0
12/18/2023,Slow weather loading system wide,12,0,0,0,0,0,0,0,0
12/16/2023,Trespasser strike at Penn Station,0,0,0,0,0,0,11,0,0
12/15/2023,Con Edison power outage at Dunton,0,0,0,6,10,3,6,8,1
12/15/2023,Trespasser strike at Penn Station,0,0,0,0,0,0,14,3,2
12/14/2023,Broken crossing gate at Jackson Ave,11,0,0,0,0,0,1,0,0
12/14/2023,Con Edison power outage at Harold,0,0,0,0,0,0,11,0,0
12/12/2023,Track circuit failure at Hall,0,0,0,0,0,0,10,0,0
12/11/2023,Switch trouble at Harold,0,6,5,0,0,0,0,0,0
12/7/2023,Debris falling at GCT 6,0,0,0,0,0,0,35,0,1
12/5/2023,Switch trouble at Harold,0,0,0,9,0,0,1,0,0
12/1/2023,Track circuit failure at GCT - 6,34,8,10,2,2,1,0,0,0
12/1/2023,24 Switch hung at Woodside Interlocking,0,0,0,0,0,0,9,4,2
11/29/2023,Broken Rail at Forest Hills,19,0,0,0,0,0,2,0,0
11/29/2023,Switch Trouble at Harold,0,0,0,0,0,0,12,0,2
11/28/2023,Trespasser on the track at Woodside,0,0,0,48,6,1,17,1,0
11/26/2023,Low adhesion system wide,0,0,0,0,0,0,28,0,0
11/22/2023,Equipment trouble at Cold Spring Harbor,5,1,1,0,0,0,13,0,0
11/22/2023,Low adhesion system wide,3,0,0,1,1,0,7,1,0
11/22/2023,Heavy holiday loading,0,0,0,1,0,0,13,0,0
11/22/2023,Switch trouble at GCT - 5,0,0,0,9,0,0,4,0,0
11/22/2023,Comply with restriction from crossing,0,0,0,0,0,0,11,0,0
11/21/2023,Low adhesion system wide,10,0,1,35,0,0,85,0,0
11/21/2023,Track circuit failure,0,0,0,10,0,0,1,0,0
11/20/2023,Low adhesion system wide,6,2,1,1,8,0,1,1,1
11/18/2023,Low adhesion system wide,0,0,0,0,0,0,15,2,6
11/17/2023,Track Condition at Rockville Centre,0,0,0,10,0,0,3,0,0
11/17/2023,Low adhesion system wide,1,0,0,1,0,0,5,0,3
11/14/2023,Switch trouble at Neck 2,5,1,1,0,0,0,3,0,0
11/3/2023,Trespasser strike west of JS Interlocking,0,0,0,10,3,1,6,2,0
11/2/2023,No. 17 Equipment trouble at Valley Interlocking,0,0,0,21,4,1,14,1,1
10/31/2023,Equipment trouble at Babylon,0,0,0,0,0,0,8,2,0
10/25/2023,Track circuit failure at Nostrand Avenue,0,0,0,2,1,0,5,0,2
10/21/2023,NJT related - Disabled train in Line 4,0,0,0,0,0,0,22,0,3
10/19/2023,Broken rail on ML3 between Queens and Hall,9,0,0,0,0,0,3,2,0
10/17/2023,Assisting Transit Authority with cross honoring,13,0,0,0,0,0,0,0,0
10/17/2023,Bridge strike at Plandome,0,0,0,1,3,3,2,0,2
10/16/2023,Striking a trespasser east of Huntington,0,0,0,4,0,2,10,2,3
10/14/2023,Fallen debris at Grand Central,0,0,0,0,0,0,32,0,1
10/13/2023,No. 521 engine shutdown at Mineola,0,0,0,1,0,0,10,0,1
10/12/2023,Switch trouble in GCT,7,0,2,0,0,0,3,0,0
10/4/2023,Equipment trouble west of Jamaica,0,0,0,15,0,0,0,0,0
10/1/2023,Bad IJ's at Neck 3 Interlocking,0,0,0,0,0,0,23,2,18
9/29/2023,Flooding conditions at multiple locations,0,0,0,7,19,14,18,5,23
9/29/2023,Weather loading,7,0,0,1,0,0,6,0,0
9/27/2023,Wheelchair customer boarding NO.1060 at Jamaica,0,0,0,7,0,0,8,0,0
9/23/2023,Track Car Problem at Grand Central,0,0,0,0,0,0,10,0,1
9/23/2023,Stone Train occupying circuit at Harold,0,0,0,0,0,0,13,0,0
9/20/2023,Incorrect action by operator,0,0,0,9,0,0,2,0,0
9/16/2023,Switch trouble at Divide,0,0,0,0,0,0,15,0,0
9/15/2023,Bridge strike between Forest Hills and Kew Gardens,0,0,0,0,0,0,21,0,0
9/14/2023,High tension problem at Brook,0,0,0,11,2,0,17,3,0
9/11/2023,NO. 157 medical assistance,10,0,0,0,0,0,0,0,0
9/11/2023,Bridge strike at Plandome,0,0,0,0,2,1,0,1,8
9/11/2023,Incorrect action by operator,11,0,0,0,0,0,0,0,0
9/8/2023,Heavy loading system wide,3,0,0,0,0,0,12,0,0
9/7/2023,Work extra 153 derailment at Queens,0,0,0,57,23,0,88,45,16
9/7/2023,Switch trouble at Harold,35,0,0,0,0,0,6,0,0
9/6/2023,Heavy loading system wide,3,0,0,4,0,0,7,0,0
9/6/2023,Track circuit failure,0,0,0,0,0,0,12,0,0
9/6/2023,Gas leak at Wyandanch,0,0,0,2,4,1,2,0,4
9/5/2023,Confused Customer,13,0,0,0,0,0,0,0,0
9/5/2023,Gap incident at Hicksville,0,0,0,6,0,0,8,0,0
9/5/2023,Signal trouble,0,0,0,0,0,0,12,0,0
9/5/2023,Extreme heat,0,0,0,7,0,0,0,4,0
9/4/2023,Trespasser strike on Mainline 4 - West of Elmont,0,0,0,0,0,0,24,0,5
8/30/2023,Loss of supervisory system at Park 1,0,0,0,3,0,0,16,0,0
8/30/2023,Loss of supervisory system at Harold Interlocking,0,0,0,0,0,0,11,0,0
8/29/2023,Switch trouble at Harold,14,1,0,0,0,0,0,0,0
8/29/2023,Amtrak Related - Drill move on 2997,10,0,0,0,0,0,3,1,0
8/24/2023,Gapped train at Hall,0,0,0,9,1,0,8,1,0
